Name,Tags
message-box-tail-width,Ширина хвоста у message-box
message-box-tail-height,Высота хвоста у message-box
message-box-close-width,Ширина крестика у message-box
message-box-close-height,Высота крестика у message-box
message-box-size-s-content-maxWidth,Размер минимальной ширины контента у s-message-box
message-box-size-s-type-text-content-maxWidth,Размер текста у внутри контента у s-message-box
message-box-size-m-content-minWidth,Размер минимальной ширины контентау m-message-box
message-box-size-m-content-maxWidth,Размер текста внутри контента у m-message-box
message-box-size-l-content-minWidth,Размер минимальной ширины контента у l-message-box
message-box-size-l-content-maxWidth,Размер максимальной ширины контента у l-message-box
message-box-size-l-type-text-content-minWidth,Размер минимальной ширины текстового контента у l-message-box
message-box-size-xl-content-minWidth,Размер минимальной ширины контента у xl-message-box
message-box-size-xl-content-maxWidth,Размер максимальной ширины контента у xl-message-box